Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_1_CreateAccount,,,2019-04-29 13:31:06,2019-04-29 13:31:14,"7,846s",PASSED
,,,,,,
Test Cases/TC_1_CreateAccount,,,2019-04-29 13:31:06,2019-04-29 13:31:14,"7,606s",PASSED
Start listener action : sampleBeforeTestCase,,,2019-04-29 13:31:07,2019-04-29 13:31:08,"0,361s",PASSED
"println("" ...TC_1 Scriptteyiz... eski custID = "" + custID)",,,2019-04-29 13:31:08,2019-04-29 13:31:08,"0,004s",PASSED
"response1 = sendRequest(findTestObject(""Customer/CreateCustomer"", [""custID"":custID]))",,,2019-04-29 13:31:08,2019-04-29 13:31:12,"4,120s",PASSED
"println("" ...TC_1 Scriptteyiz... GlobalVariable.custID = "" + custID)",,,2019-04-29 13:31:12,2019-04-29 13:31:12,"0,001s",PASSED
xml1 = responseBodyContent,,,2019-04-29 13:31:12,2019-04-29 13:31:12,"0,123s",PASSED
dataValue = XmlSlurper().parseText(xml1),,,2019-04-29 13:31:12,2019-04-29 13:31:12,"0,026s",PASSED
custID1 = childNodes().next(),,,2019-04-29 13:31:12,2019-04-29 13:31:12,"0,009s",PASSED
custID = custID1,,,2019-04-29 13:31:12,2019-04-29 13:31:12,"0,001s",PASSED
delay(2),,,2019-04-29 13:31:12,2019-04-29 13:31:14,"2,032s",PASSED
Start listener action : sampleAfterTestCase,,,2019-04-29 13:31:14,2019-04-29 13:31:14,"0,011s",PASSED
